Source,Target
East Asia,East Asia
Central America, East Asia
Europe,Europe
North America, South America
Europe, Middle East
Europe,Europe
North America, Middle East
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Africa,Africa
North America,North America
West Asia,West Asia
Europe, Middle East
East Asia,East Asia
South America,South America
Middle East, West Asia
Europe,Europe
South America,South America
Middle East, Europe
East Asia,East Asia
Middle East, North America
Oceania,Oceania
South America, Caribbean
Oceania,Oceania
Europe, Middle East
Oceania,Oceania
West Asia, East Asia
Caribbean, Central America
Europe,Europe
Europe, Middle East
Europe,Europe
Europe,Europe
Africa, South America
West Asia, South America
Caribbean, Europe
Europe,Europe
Africa, West Asia
Central America,Central America
Europe,Europe
East Asia, West Asia
Middle East, Africa
Europe,Europe
Oceania, East Asia
Oceania, South America
North America, Europe
North America, South America
Europe, East Asia
North America, East Asia
East Asia,East Asia
East Asia,East Asia
East Asia,East Asia
Middle East,Middle East
West Asia, East Asia
Oceania, East Asia
East Asia,East Asia
South America, Europe
Europe, South America
East Asia, Europe
South America, North America
Central America, North America
Middle East, North America
East Asia, North America
Africa, Europe
Oceania, East Asia
East Asia, West Asia
West Asia,West Asia
South America, Central America
Africa,Africa
Europe,Europe
Europe,Europe
Europe,Europe
Europe, Commonwealth of Independent States (CIS)
Europe,Europe
Middle East, North America
Europe,Europe
Europe,Europe
Africa, Middle East
Europe, Africa
Oceania,Oceania
Europe,Europe
Europe,Europe
Europe,Europe
Europe, Middle East
Central America, North America
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
North America,North America
Caribbean, South America
Central America,Central America
Europe,Europe
Europe, East Asia
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe, Middle East
Africa, Europe
East Asia,East Asia
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Africa, Europe
Europe,Europe
Europe,Europe
Europe,Europe
Middle East, East Asia
Europe,Europe
Europe,Europe
Europe,Europe
Europe, Africa
Europe, Africa
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Central America, North America
Europe,Europe
Europe,Europe
Europe, Middle East
Europe,Europe
Europe, Middle East
Europe,Europe
Europe,Europe
Europe, Africa
Europe,Europe
Europe,Europe
Central America, Caribbean
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
East Asia,East Asia
Europe, Africa
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Africa, Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Central America,Central America
Africa,Africa
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Africa, North America
Europe,Europe
Europe, Commonwealth of Independent States (CIS)
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Africa,Africa
Middle East,Middle East
Europe,Europe
Europe, Middle East
Oceania, East Asia
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
South America, North America
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
North America, Central America
Europe,Europe
Europe,Europe
Europe, Commonwealth of Independent States (CIS)
Europe, Commonwealth of Independent States (CIS)
Europe, Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS), Europe
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Europe,Europe
Middle East, Europe
Europe,Europe
Europe, South America
Europe,Europe
Europe,Europe
Europe,Europe
Middle East, Europe
Commonwealth of Independent States (CIS), Europe
Europe,Europe
Europe,Europe
Europe,Europe
Middle East, Europe
Europe,Europe
South America, East Asia
Middle East, Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Middle East, Europe
Europe,Europe
Europe,Europe
Africa, Europe
Africa,Africa
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe,Europe
Europe, Africa
Europe, Africa
Caribbean, Europe
Caribbean, Europe
Africa,Africa
Caribbean, Africa
Caribbean, Central America
Europe,Europe
West Asia,West Asia
West Asia,West Asia
East Asia, Central America
East Asia, Central America
Oceania, East Asia
East Asia, West Asia
South America, East Asia
Europe, Africa
East Asia, Europe
Middle East, Europe
Europe, Africa
East Asia, Oceania
East Asia, Oceania
South America, East Asia
East Asia,East Asia
Middle East, Europe
South America,South America
South America,South America
East Asia, North America
South America, West Asia
East Asia, Central America
South America, North America
Oceania, East Asia
South America, Europe
West Asia, East Asia
Europe,Europe
West Asia,West Asia
West Asia,West Asia
Europe,Europe
Central America,Central America
Europe,Europe
East Asia,East Asia
North America, Middle East
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Europe, Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Oceania, East Asia
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Oceania,Oceania
Africa, Middle East
Europe,Europe
Europe,Europe
Europe, Commonwealth of Independent States (CIS)
Caribbean, Europe
North America, Central America
Oceania, North America
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Africa, Europe
East Asia,East Asia
Europe, Africa
South America, West Asia
Europe,Europe
East Asia, Europe
Commonwealth of Independent States (CIS), Europe
Africa, West Asia
East Asia, Oceania
East Asia,East Asia
East Asia, South America
South America, North America
North America, South America
North America, South America
East Asia, Oceania
East Asia, South America
East Asia, Central America
North America, South America
Europe, Central America
East Asia, Central America
South America, Europe
Central America, East Asia
Europe, Africa
Europe, Commonwealth of Independent States (CIS)
South America, East Asia
East Asia, Europe
Europe, South America
North America, Commonwealth of Independent States (CIS)
South America, East Asia
East Asia,East Asia
East Asia, Europe
Europe, Commonwealth of Independent States (CIS)
Europe, Africa
Europe,Europe
East Asia,East Asia
Europe,Europe
East Asia,East Asia
West Asia, East Asia
Europe,Europe
Central America, South America
Central America, South America
South America, East Asia
South America, Africa
Africa,Africa
South America, Central America
Europe, Oceania
East Asia, South America
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Central America, Caribbean
Europe,Europe
Central America, Europe
North America, Central America
Africa, Europe
East Asia, Europe
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
East Asia,East Asia
Africa,Africa
Europe, Commonwealth of Independent States (CIS)
Europe, Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS), Europe
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Central America, North America
Europe, Commonwealth of Independent States (CIS)
West Asia, East Asia
East Asia, Oceania
Caribbean, Central America
South America, North America
East Asia,East Asia
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
North America, Central America
Middle East, East Asia
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS), Europe
Europe, East Asia
Commonwealth of Independent States (CIS), East Asia
Europe, Africa
East Asia, North America
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
East Asia, North America
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
South America, East Asia
Europe,Europe
South America, Central America
Africa, Europe
East Asia,East Asia
East Asia,East Asia
East Asia, North America
South America, North America
Oceania, East Asia
Europe,Europe
Europe,Europe
Europe, Middle East
Europe, East Asia
North America, Central America
Africa,Africa
Europe,Europe
Europe, Middle East
East Asia,East Asia
Middle East, North America
West Asia,West Asia
Europe, North America
Europe, Middle East
Europe,Europe
Europe,Europe
Oceania, East Asia
South America, East Asia
Europe, North America
South America, North America
Middle East, North America
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Europe,Europe
East Asia, South America
Europe,Europe
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Europe, Africa
Europe, Africa
Europe, Middle East
Africa,Africa
Africa,Africa
Europe, Africa
Africa,Africa
Oceania,Oceania
West Asia, East Asia
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Europe, Middle East
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Europe, Africa
Middle East, Europe
